Наименование мороженого	Масса порции,г	Единичный штрих-код / меняем на 	Срок хранения при t минус 18°С, не более	комментарий																																			
"Мороженое с заменителем молочного жира крем-брюле, декорированное варёным сгущённым молоком в вафельном сахарном рожке с шоколадной глазурью ""От Деда Мороза"""	140	4607067932167	18 месяцев	От Деда Мороза 																																			
Мороженое пломбир ванильный «ваниль-бурбон» с шоколадным топпингом  в вафельном сахарном рожке с молочно-шоколадной глазурью, декорированное шоколадными шариками 	80	4620032652341	12 месяцев	Инстинкт 																																			
Мороженое пломбир ванильный в вафельном сахарном рожке	110	4620032652921	18 месяцев	СТМ Х5 Светаево 																																			
Мороженое двухслойное пломбир с ароматом малины и жевательной резинки бабл гам	55	4620032653119	18 месяцев	Инстинкт 																																			
"Десерт взбитый замороженный фруктовый ""Сорбет манго"" с ванильным пломбиром"	55	4620032653126	18 месяцев	Инстинкт 																																			
Мороженое пломбир крем-брюле с мягкой карамелью в вафельном сахарном рожке в белой глазури	100	4620032653133	18 месяцев	Филевское																																			
Мороженое пломбир ванильный в вафельном сахарном рожке с молочно-шоколадной глазурью в шоколадной глазури	60	4620032653508	18 месяцев	СТМ Самокат																																			
Мороженое пломбир ванильный в вафельном сахарном рожке	130	4620032653546	18 месяцев	Семейное																																																																									
"Мороженое двухслойное с заменителем молочного жира ванильное и  шоколадное в шоколадной глазури, декорированное карамелью и арахисом ""Таганка"""	80	4600625314344	18 месяцев	Таганка																																			
"Мороженое сливочное двухслойное ванильное и крем-брюле в шоколадной глазури ""Маска"""	80	4600625308213	18 месяцев	СТМ Маска																																			
"Мороженое с заменителем молочного жира ванильное с клюквенным джемом в шоколадной глазури ""Айсберри"" "	80	4600625311916	18 месяцев	Айсберри																																			
"Мороженое ""Стандарт"" пломбир ванильный"	70	4620032651559	18 месяцев																																				
Мороженое  сливочное ванильное в шоколадной глазури  	80	4600625307629	18 месяцев	"""ЛЕНИНГРАДСКОЕ"""																																																																								
"Мороженое сливочное  ванильное с шоколадной крошкой  ""Семейное"" "	220	4600625314863	18 месяцев	Семейное																																			
Мороженое пломбир ванильный	250	4607067934888	12 месяцев	Филевский (в коробочке)																																			
Мороженое пломбир шоколадный с кусочками шоколада	220	4607067936608	12 месяцев	Филевский двойная упаковка																																			
Мороженое пломбир ванильный с шоколадной крошкой 	400	4620032652396	12 месяцев	Филевский брикет на подложке																																			
"Мороженое сливочное ванильное ""Жемчужина России"""	220	4607067936806	18 месяцев	Жемчужина России																																			
Мороженое пломбир ванильный	220	4607067935960	18 месяцев	Филевский 																																			
"Мороженое пломбир с вареным сгущенным молоком ""Вологодский пломбир"""	250	4620032651528	18 месяцев	Вологодский пломбир 																																			
"Мороженое пломбир с крошкой из молочного шоколада ""Вологодский пломбир"""	250	4620032652068	18 месяцев	Вологодский пломбир 																																			
